City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,8.25,57,75,11.83,CL,1721675996
1,fale old settlement,-9.3852,-171.2468,28.1,78,18,10.58,TK,1721675998
2,port-aux-francais,-49.35,70.2167,3.39,69,7,8.91,TF,1721675999
3,grytviken,-54.2811,-36.5092,-1.56,97,100,1.79,GS,1721676000
4,ribeira grande,38.5167,-28.7,24.87,83,75,2.06,PT,1721676001
5,drayton valley,53.2168,-114.9854,27.11,57,100,6.48,CA,1721676003
6,hawaiian paradise park,19.5933,-154.9731,27.24,74,40,3.09,US,1721676004
7,ukwa,21.9667,80.4667,23.66,99,99,2.8,IN,1721676005
8,afaahiti,-17.75,-149.2833,24.93,70,88,9.19,PF,1721676006
9,puerto ayora,-0.7393,-90.3518,24.98,91,93,3.13,EC,1721676007
10,aasiaat,68.7098,-52.8699,3.09,92,77,3.12,GL,1721676008
11,albany,42.6001,-73.9662,29.96,61,99,1.34,US,1721676009
12,bilibino,68.0546,166.4372,16.47,83,22,1.09,RU,1721675986
13,southeast arcadia,27.1863,-81.8521,33.92,68,100,0.45,US,1721676012
14,lagoa,39.05,-27.9833,22.99,60,0,1.02,PT,1721676013
15,mabaruma,8.2,-59.7833,28.27,91,33,1.48,GY,1721676015
16,at taj,24.2049,23.2857,32.55,16,75,5.39,LY,1721676016
17,chonchi,-42.6128,-73.8092,10.07,74,100,1.92,CL,1721675736
18,utrik,11.2278,169.8474,28.03,78,13,7.84,MH,1721676020
19,adamstown,-25.066,-130.1015,18.69,53,100,3.87,PN,1721676021
20,peruibe,-24.32,-46.9983,20.75,74,0,2.06,BR,1721676022
21,yamada,39.4667,141.95,21.34,89,26,2.53,JP,1721675874
22,blackmans bay,-43.0167,147.3167,13.18,74,100,0.89,AU,1721676024
23,la sarre,48.8002,-79.1996,17.24,67,100,3.34,CA,1721676026
24,ouani,-12.1322,44.4258,24.8,73,34,4.85,KM,1721676027
25,general jose de san martin,-26.5374,-59.3416,29.34,34,1,2.09,AR,1721675812
26,beyneu,45.3167,55.2,30.57,35,11,2.23,KZ,1721676029
27,marsh harbour,26.5412,-77.0636,29.67,65,84,5.29,BS,1721676030
28,severo-yeniseyskiy,60.3725,93.0408,16.2,91,100,1.04,RU,1721676031
29,port alfred,-33.5906,26.891,13.62,68,0,1.3,ZA,1721676032
30,ust-nera,64.5667,143.2,16.73,83,62,1.84,RU,1721676034
31,sofifi,0.7349,127.576,26.34,84,97,0.99,ID,1721676035
32,san antonio de pale,-1.4014,5.6325,22.86,84,100,5.19,GQ,1721676036
33,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,100,2.0,RU,1721676037
34,tiksi,71.6872,128.8694,5.91,92,95,2.53,RU,1721676038
35,iqaluit,63.7506,-68.5145,16.85,55,75,3.6,CA,1721676039
36,suoyarvi,62.0833,32.35,15.82,71,15,1.95,RU,1721676041
37,waitangi,-43.9535,-176.5597,9.34,99,100,4.02,NZ,1721676042
38,tokar,18.4254,37.729,36.29,37,23,11.09,SD,1721676043
39,longyearbyen,78.2186,15.6401,10.91,87,75,2.57,SJ,1721676044
40,jamestown,42.097,-79.2353,26.77,57,0,1.54,US,1721676045
41,zuni pueblo,35.0725,-108.8506,27.35,27,4,1.14,US,1721676046
42,codrington,-38.2667,141.9667,9.68,79,100,6.57,AU,1721676048
43,gobabis,-22.45,18.9667,16.1,14,0,3.88,NA,1721676049
44,hithadhoo,-0.6,73.0833,28.84,78,91,5.91,MV,1721676050
45,thompson,55.7435,-97.8558,19.09,55,75,3.6,CA,1721676051
46,harstad,68.799,16.5293,23.66,70,93,1.11,NO,1721676052
47,klaksvik,62.2266,-6.589,11.51,85,41,6.9,FO,1721676053
48,cockburn town,21.4612,-71.1419,27.96,82,0,8.84,TC,1721676054
49,ushuaia,-54.8,-68.3,2.81,87,100,4.63,AR,1721675788
50,lycksele,64.5954,18.6735,21.93,68,99,3.6,SE,1721675830
51,el calafate,-50.3408,-72.2768,4.47,94,59,6.71,AR,1721676058
52,antsiranana,-12.2787,49.2917,22.81,79,100,5.87,MG,1721676059
53,dudinka,69.4058,86.1778,4.1,77,6,6.09,RU,1721676060
54,luancheng,37.8792,114.6517,29.09,80,82,1.69,CN,1721676061
55,mar del plata,-38.0023,-57.5575,19.01,37,0,7.72,AR,1721675936
56,princeville,45.7668,-61.2985,23.98,60,0,5.66,CA,1721676064
57,manzini,-26.25,31.5,16.71,65,0,1.74,SZ,1721676065
58,kovdor,67.5662,30.4758,16.86,53,100,2.2,RU,1721676066
59,pyapon,16.2833,95.6833,25.34,90,100,2.21,MM,1721676067
60,ilulissat,69.2167,-51.1,5.88,73,19,1.96,GL,1721676068
61,isafjordur,66.0755,-23.124,10.02,66,100,6.17,IS,1721676069
62,st. john's,47.5649,-52.7093,23.66,51,40,10.8,CA,1721675772
63,la passe,45.5549,-0.8967,21.13,79,8,2.87,FR,1721676072
64,college,64.8569,-147.8028,23.28,60,0,2.06,US,1721676073
65,stanley,54.868,-1.6985,17.77,82,75,2.57,GB,1721675981
66,whitehorse,60.7161,-135.0538,16.43,82,75,5.66,CA,1721676075
67,guayaramerin,-10.8368,-65.3614,35.03,28,20,3.09,BO,1721676076
68,bredasdorp,-34.5322,20.0403,7.84,85,0,1.49,ZA,1721676078
69,saldanha,-33.0117,17.9442,8.03,68,27,2.77,ZA,1721676079
70,emirdag,39.0197,31.15,26.24,34,0,2.73,TR,1721676080
71,saipan,15.1355,145.701,27.39,89,20,3.09,MP,1721676082
72,avarua,-21.2078,-159.775,24.03,64,20,5.66,CK,1721676083
73,georgetown,5.4112,100.3354,28.97,75,20,2.06,MY,1721676084
74,selfoss,63.9331,-20.9971,10.58,77,82,7.93,IS,1721676085
75,xilin hot,43.9667,116.0333,21.85,46,15,3.34,CN,1721676086
76,knyaze-volkonskoye,48.4642,135.4567,18.19,93,98,3.68,RU,1721676087
77,bamboo flat,11.7,92.7167,28.05,89,75,5.66,IN,1721676088
78,fort bragg,35.139,-79.006,31.85,63,40,4.63,US,1721676090
79,vilyuysk,63.7553,121.6247,14.0,83,85,5.1,RU,1721676091
80,baukau,51.5526,7.2042,22.54,66,99,2.72,DE,1721676092
81,ta`u,-14.2336,-169.5144,26.65,70,40,11.23,AS,1721676093
82,evanston,42.0411,-87.6901,29.2,62,75,3.6,US,1721676094
83,mount gambier,-37.8333,140.7667,9.42,76,100,4.13,AU,1721676095
84,bethel,41.3712,-73.414,27.47,87,75,2.57,US,1721675986
85,huayacocotla,20.55,-98.4833,16.75,90,100,2.96,MX,1721676098
86,polyarnyy,69.1989,33.4478,19.61,53,70,2.43,RU,1721676099
87,san luis de la loma,17.2706,-100.8939,29.68,71,100,3.01,MX,1721676100
88,qaqortoq,60.7167,-46.0333,8.25,81,100,1.02,GL,1721676101
89,borogontsy,62.6683,131.1683,14.53,97,11,2.24,RU,1721676102
90,hadibu,12.65,54.0333,26.37,79,99,11.5,YE,1721676104
91,bhopal,23.2667,77.4,25.1,94,100,1.34,IN,1721675603
92,port elizabeth,-33.918,25.5701,8.94,93,0,2.06,ZA,1721676106
93,mount isa,-20.7333,139.5,12.87,35,0,3.6,AU,1721676107
94,anadyr,64.75,177.4833,14.28,71,75,5.0,RU,1721676108
95,pankovka,58.5,31.1999,18.67,72,64,2.7,RU,1721676109
96,seven pagodas,12.6264,80.1722,30.07,55,100,7.15,IN,1721676111
97,constantia,44.1833,28.65,26.5,66,100,4.97,RO,1721676112
98,imgarr,35.9206,14.3664,25.08,73,20,9.26,MT,1721676113
99,papatowai,-46.5619,169.4708,6.89,80,100,3.65,NZ,1721676114
100,leh,34.1667,77.5833,17.14,25,1,2.62,IN,1721676116
101,tralee,52.2704,-9.7026,15.32,84,82,4.22,IE,1721676117
102,okhotsk,59.3833,143.3,14.7,88,100,1.53,RU,1721675834
103,loa janan,-0.583,117.095,23.73,98,100,1.2,ID,1721676119
104,coyhaique,-45.5752,-72.0662,11.34,98,100,3.61,CL,1721676120
105,nantucket,41.2835,-70.0995,28.03,86,96,6.77,US,1721676121
106,tura,25.5198,90.2201,24.76,95,100,3.49,IN,1721676122
107,kargasok,59.0556,80.8572,13.84,61,100,3.21,RU,1721676124
108,ubari,26.5921,12.7805,35.9,13,0,3.75,LY,1721676126
109,hamilton,39.1834,-84.5333,29.03,63,100,2.06,US,1721675693
110,klyuchi,52.2667,79.1667,18.14,78,41,1.61,RU,1721676130
111,kununurra,-15.7667,128.7333,12.99,54,74,1.54,AU,1721676131
112,sao desiderio,-12.3633,-44.9733,31.4,22,0,3.62,BR,1721676132
113,rikaze,29.25,88.8833,12.22,87,100,3.07,CN,1721676133
114,eydhafushi,5.1033,73.0708,28.4,76,88,1.84,MV,1721676134
115,talnakh,69.4865,88.3972,4.96,73,0,4.44,RU,1721675881
116,castillos,-34.1667,-53.8333,18.61,77,81,1.16,UY,1721676136
117,tual,-5.6667,132.75,25.09,88,90,9.76,ID,1721676138
118,kodiak,57.79,-152.4072,12.73,94,0,3.09,US,1721676139
119,kirovsk,48.6375,38.6428,23.15,46,100,2.13,UA,1721676140
120,beira,-19.8436,34.8389,20.05,94,0,2.57,MZ,1721676141
121,west island,-12.1568,96.8225,26.99,83,20,5.66,CC,1721676142
122,kapa'a,22.0752,-159.319,26.93,69,75,6.17,US,1721676143
123,byron bay,-28.65,153.6167,7.06,91,7,2.98,AU,1721676144
124,dolores,-36.3132,-57.6792,17.0,55,0,5.6,AR,1721676146
125,uliastay,47.7417,96.8444,11.08,64,0,0.55,MN,1721676147
126,banda aceh,5.5577,95.3222,27.13,77,66,5.55,ID,1721676148
127,torata,-17.0769,-70.8433,19.83,20,1,4.59,PE,1721676149
128,eyl,7.9803,49.8164,25.41,78,65,12.67,SO,1721676150
129,vorgashor,67.5833,63.95,10.51,76,100,3.15,RU,1721676152
130,djambala,-2.5447,14.7533,26.98,36,12,0.88,CG,1721676153
131,mariental,-24.6333,17.9667,15.66,9,8,4.51,NA,1721676154
132,flying fish cove,-10.4217,105.6791,23.82,94,100,4.63,CX,1721676155
133,mata-utu,-13.2816,-176.1745,27.45,75,100,8.89,WF,1721676156
134,atafu village,-8.5421,-172.5159,28.54,78,0,9.53,TK,1721676157
135,invercargill,-46.4,168.35,5.01,95,94,1.79,NZ,1721676158
136,bratsk,56.1325,101.6142,18.27,98,100,2.39,RU,1721676161
137,altai,46.3722,96.2583,12.71,54,2,2.15,MN,1721676162
138,port saint john's,-31.6229,29.5448,14.85,73,1,1.79,ZA,1721676163
139,kingston,17.997,-76.7936,32.53,70,20,8.23,JM,1721676065
140,codo,-4.4553,-43.8856,35.44,26,95,1.85,BR,1721676165
141,kruisfontein,-34.0033,24.7314,7.71,86,0,1.39,ZA,1721676166
142,olonkinbyen,70.9221,-8.7187,5.09,96,100,8.59,SJ,1721676168
143,la ronge,55.1001,-105.2842,21.14,52,40,3.6,CA,1721676169
144,chu,43.5983,73.7614,26.13,35,2,3.46,KZ,1721676170
145,nadi,-17.8,177.4167,20.0,94,20,1.54,FJ,1721676171
146,grantsville,40.5999,-112.4644,35.49,20,0,4.12,US,1721676092
147,lihue,21.9789,-159.3672,26.52,74,75,6.17,US,1721676173
148,kloulklubed,7.0419,134.2556,26.28,71,100,1.61,PW,1721676174
149,carnarvon,-24.8667,113.6333,20.04,79,1,5.55,AU,1721676175
150,kalabo,-14.97,22.6814,19.64,19,5,1.9,ZM,1721676177
151,pabna,24.0,89.25,26.92,91,100,5.78,BD,1721676178
152,edinburgh of the seven seas,-37.0676,-12.3116,12.77,72,12,9.8,SH,1721676179
153,sal rei,16.1833,-22.9167,27.11,74,75,6.17,CV,1721676180
154,madalena,41.2162,-8.3345,32.64,33,0,1.43,PT,1721676181
155,pandan,14.0453,124.1694,27.18,84,100,9.39,PH,1721676182
156,cadale,2.7603,46.3222,25.0,87,100,7.93,SO,1721676183
157,kailua-kona,19.6406,-155.9956,27.55,76,75,3.09,US,1721676185
158,yellowknife,62.456,-114.3525,25.79,54,100,4.12,CA,1721676186
159,suva,-18.1416,178.4415,22.71,100,40,0.0,FJ,1721676187
160,akdepe,42.0551,59.3788,28.05,32,61,2.47,TM,1721676188
161,lerwick,60.1545,-1.1494,15.0,76,95,1.37,GB,1721676189
162,hotan,37.0997,79.9269,27.56,38,88,3.94,CN,1721676190
163,badger,64.8,-147.5333,23.23,56,0,2.06,US,1721676191
164,piti village,13.4626,144.6933,28.03,92,20,3.09,GU,1721676193
165,coquimbo,-29.9533,-71.3436,14.85,72,0,5.66,CL,1721676139
166,margate,51.3813,1.3862,18.82,77,0,0.89,GB,1721676195
